Agency,Subagency,B) Year Established,C1) Funding FY2008,C2) Funding FY2009,C3) Funding FY2010,D) Mission-specific or General STEM?,E) Agency or Mission-Related Workforce Needs?,F1) Primary Investment Objective,I1) STEM Learners Targeted? Specify.,I1) STEM Learners Targeted? Specify. 5,I1) STEM Learners Targeted? Specify. 6,J) Focus on Underrepresented Groups in STEM,K) Eligibility Restrictions,L) Minority Serving Institutions,M) Geographic Region,M) Geographic Region 1,N) STEM Discipline Focus 12,Q) Legislation Required to Shift Focus?,S) Investment Partnerships,U) Measured Outputs,V) Outcomes Measured,X) Evaluated Since 2005?,Growth,target
Education,Office of Postsecondary Education (OPE),1988.0,30.0,31.0,31.0,General STEM,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Pre-K-20 learners,,Graduate school (17-20) aged learners,Yes,Yes,No,National scope or not targeted to a geographic region,x,Nursing and educational assessment/evaluation,Yes,No,,,NO,3.33333333333,1
Education,Office of Postsecondary Education (OPE),1980.0,8.577,8.577,9.503,General STEM,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Pre-K-20 learners,,,Yes,Yes,Yes,National scope or not targeted to a geographic region,x,Overlapping areas among two or more sciences,Yes,Required,Number of learners (any age) served,,NO,0.0,1
Education,Office of Postsecondary Education (OPE),2008.0,4.74,8.943999999999999,0.0,General STEM,,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,Yes,Yes,Yes,National scope or not targeted to a geographic region,x,,Yes,No,Number of learners (any age) served,,NO,88.6919831224,1
Education,Office of Postsecondary Education (OPE),1995.0,100.0,100.0,100.0,General STEM,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,Yes,National scope or not targeted to a geographic region,x,"A wide array of science,engineering, and technological fields, including but 
not limited to : biotechnology, nanotechnology, Information Technology, 
computer science, biology,etc.",Yes,Encouraged,Number of learners (any age) served,,NO,0.0,1
Education,Office of Postsecondary Education (OPE),1972.0,13.9,3.5,3.65,General STEM,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",,,,No,No,No,National scope or not targeted to a geographic region,x,,Yes,Encouraged,,,NO,-74.82014388489999,0
Education,Office of Postsecondary Education (OPE),1999.0,15.44,38.63,49.77,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",,,,No,Yes,No,National scope or not targeted to a geographic region,x,,Yes,No,Number of educators served,NONE,NO,150.194300518,1
Education,Office of Postsecondary Education (OPE),1990.0,31.186306,35.203799,34.873057,General STEM,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Pre-K-20 learners,,,Yes,Yes,No,National scope or not targeted to a geographic region,x,,Yes,No,Number of learners (any age) served,,NO,12.882234273,1
Commerce,NOAA,2007.0,0.5770000000000001,0.568,0.426,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,,No,Encouraged,Number of learners (any age) served,,YES,-1.55979202773,0
Commerce,NOAA,2005.0,3.831236,7.703702000000001,10.388185,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,,Yes,Encouraged,Number of learners (any age) served,,YES,101.076154014,1
NASA,Center JPL,2008.0,2.75,2.7110000000000003,3.111,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),,Yes,Yes,Yes,,,"All Science, Technology, Engineering and Mathematics fields related to NASA 
Space and Flight Mission Directorates and the ""Aerospace Industry"" in general.",No,,Number of learners (any age) served,,,-1.4181818181799999,0
Commerce,NOAA,2000.0,13.92,14.984000000000002,14.309000000000001,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,Yes,,,"STEM in support of the NOAA mission.
SCIENCE: Physical sciences (including physics, chemistry, astronomy, materials 
science); Biological science; Earth, atmospheric, ocean, or planetary science; 
Environmental science; Computer science.
Technology including Remote Sensing Technology.
Engineering.
Mathematics or Statistics",Yes,,Number of learners (any age) served,,,7.64367816092,1
Interior,USGS,1993.0,0.49200000000000005,0.519,0.5660000000000001,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,No,,,,"Earth science, geology, and geographic information systems.",Yes,,Number of learners (any age) served,none,,5.4878048780499995,1
Commerce,NOAA,2002.0,9.55,9.7,9.7,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,,,No,No,No,,n,,Yes,Encouraged,Number of learners (any age) served,,YES,1.5706806282700003,1
Agriculture,NIFA,1999.0,0.983,0.983,0.983,Agency Mission Workforce,Mission-related,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Grades 6-20 aged learners,Undergraduate (13-16),,No,No,,,,All general food and agricultural sciences,No,,,none,,0.0,1
Agriculture,NIFA,1990.0,5.385,5.654,5.654,Agency Mission Workforce,Mission-related,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Grades 6-20 aged learners,Undergraduate (13-16),,No,No,,,,General food and agricultural sciences,Don't know,,,none,,4.99535747447,1
Agriculture,NIFA,2009.0,0.0,0.75,0.875,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),,Yes,No,No,,,"bioenergy, pulp and paper manufacturing, and agriculture-based renewable energy 
resources",Yes,,,none,,100.0,1
NASA,Science Mission Directorate (SMD),1999.0,1.921,1.847,1.8230000000000002,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,No,No,National scope or not targeted to a geographic region,x,,No,Mixed,Number of learners (any age) served,,YES,-3.85216033316,0
Nuclear Regulatory Commission,Office of Human Resources,2007.0,4.72,4.72,4.7,Agency Mission Workforce,Mission-related,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",,,,No,No,,,,"Fields related to nuclear safety, security, and environmental protection.",Yes,,Number of learners (any age) served,none,,0.0,1
Agriculture,NIFA,1994.0,1.4580000000000002,0.958,1.126,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),,Yes,Yes,No,,,"Veterinary Medicine; Agricultural Sciences and Engineering; Natural Resource 
Sciences Training; Human Sciences Training; Food Science and Human Nutrition 
Training;  Agrosecurity Science Training; Agricultural Education.",Yes,,Number of learners (any age) served,none,,-34.2935528121,0
Agriculture,NIFA,2010.0,0.0,0.0,0.364,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,No,No,,,"Sustainable energy; Global food security and hunger; Climate change; Nutrition 
and prevention of childhood obesity; Food Safety; Sustainable rural economies;",Yes,,Number of learners (any age) served,none,,0.0,1
Commerce,NOAA,2008.0,1.2590000000000001,1.26,1.649,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",,,,No,No,No,National scope or not targeted to a geographic region,x,,No,Encouraged,Number of educators served,NONE,YES,0.0794281175536,1
Health & Human Services,National Institutes of Health (NIH),,70.562578,83.425884,68.981252,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,No,,,"Doctoral Research scientists and associated careers in policy, science 
communication and teaching in academia, academic medical centers, industry, big 
pharma, biotech, research institutions, and Federal laboratories.",No,,Number of learners (any age) served,none,,18.2296429136,1
Health & Human Services,National Institutes of Health (NIH),1975.0,259.07634900000005,266.467113,230.84032799999997,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,,Graduate (17-20),No,Yes,,,,"Independent research scientists with doctorate degrees in the fields of 
biomedical, behavioral and social sciences, for careers in academia, academic 
medical centers, and biomedical research institutions including industry, 
biotech, big pharma, and government laboratories.",Yes,,Number of learners (any age) served,,,2.8527358937000002,1
Health & Human Services,National Institutes of Health (NIH),1975.0,47.571373,55.551807,56.882642000000004,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,,Graduate (17-20),No,Yes,,,,"Independent research scientists with doctorate degrees in the fields of 
biomedical, behavioral and social sciences, for careers in academia, academic 
medical centers, and biomedical research institutions including industry, 
biotech, big pharma, and government laboratories.",Yes,,Number of learners (any age) served,,,16.7757066839,1
Health & Human Services,National Institute of General Medical Sciences (NIGMS),1977.0,16.764,21.249000000000002,21.249000000000002,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),,Yes,Yes,Yes,,,"biomedical, clinical and behavioral research",No,,Number of learners (any age) served,none,,26.753758053000002,1
Health & Human Services,National Institute of General Medical Sciences (NIGMS),1999.0,0.318,0.33,0.695,Agency Mission Workforce,Mission-related,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,No,,,,"integration of mathematical, statistical, and computational approaches into 
biological and/or behavioral research",No,,Number of learners (any age) served,none,,3.77358490566,1
Health & Human Services,National Institute of General Medical Sciences (NIGMS),2005.0,0.677,0.746,0.667,Agency Mission Workforce,Mission-related,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Grades 6-20 aged learners,,Graduate (17-20),No,No,,,,systems and intergrative organ pharmacology,No,,Number of learners (any age) served,none,,10.1920236337,1
Health & Human Services,National Institute of General Medical Sciences (NIGMS),2001.0,16.442999999999998,22.335,21.412,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,No,,,biomedical and behavioral sciences,No,,Number of learners (any age) served,none,,35.832877212199996,1
Health & Human Services,National Institute of General Medical Sciences (NIGMS),2000.0,18.57,25.69,24.441999999999997,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,Yes,,,biomedical and behavioral research,No,,Number of learners (any age) served,,,38.3414108778,1
Health & Human Services,National Institute of General Medical Sciences (NIGMS),1993.0,3.995,7.26,6.461,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),,Yes,Yes,No,,,"biomedical, clinical, behavioral and health services research relevant to 
mission of NIH",No,,Number of learners (any age) served,none,,81.7271589487,1
Health & Human Services,National Institute of General Medical Sciences (NIGMS),1993.0,1.287,2.18,2.977,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,,Graduate (17-20),Yes,Yes,No,,,"biomedical, clinical, behavioral and health services research relevant to the 
missions of NIH",No,,Number of learners (any age) served,none,,69.3861693862,1
Health & Human Services,National Institute of General Medical Sciences (NIGMS),2001.0,3.029,6.725,5.78,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",,,,Yes,Yes,No,,,Biomedical and behavioral research,No,,Number of learners (any age) served,none,,122.02046880200001,1
Health & Human Services,National Center for Research Resources (NCRR),1991.0,16.183,22.209,18.324,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,,,Yes,No,No,National scope or not targeted to a geographic region,x,"Medical science, clinical trials process",No,Encouraged,Number of learners (any age) served,,YES,37.2366063153,1
Health & Human Services,National Cancer Institute (NCI),1994.0,6.752999999999999,7.311,6.757000000000001,Agency Mission Workforce,Mission-related,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,No,,,,Health Science with a focus on cancer research,No,,Number of learners (any age) served,none,,8.262994224789999,1
Health & Human Services,National Cancer Institute (NCI),1999.0,16.209,18.992,20.442,Agency Mission Workforce,Mission-related,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Grades 6-20 aged learners,,Graduate (17-20),No,No,,,,"Health Science, with a focus on cancer prevention and control research",No,,Number of learners (any age) served,none,,17.1694737492,1
Health & Human Services,"National Heart, Lung, and Blood Institute (NHLBI)",2009.0,0.0,1.449,1.449,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,Yes,,,,Biostatistics,No,,Number of learners (any age) served,,,100.0,1
Health & Human Services,"National Heart, Lung, and Blood Institute (NHLBI)",2006.0,2.0469999999999997,3.168,4.189,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,No,,,"Biological Sciences, Chemistry, Computer Science, Engineering, Social Sciences, 
Technology",No,,Number of learners (any age) served,none,,54.7630679043,1
Health & Human Services,"National Heart, Lung, and Blood Institute (NHLBI)",2001.0,0.47600000000000003,0.486,0.47600000000000003,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),,Yes,Yes,Yes,,,"Biological Science, Engineering, Mathmatics",No,,Number of learners (any age) served,none,,2.10084033613,1
Health & Human Services,National Institute of Environmental Health Sciences (NIEHS),2008.0,0.568,0.763,0.568,Agency Mission Workforce,Mission-related,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Grades 6-20 aged learners,Undergraduate (13-16),,No,Yes,,,,environmental health science,No,,Number of learners (any age) served,none,,34.3309859155,1
Health & Human Services,National Institute of Allergy and Infectious Diseases (NIAID),2008.0,0.348,0.711,1.06,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,"infectious diseases, microbiology, immunology, biomedical sciences, allergy",No,No,,NONE,NO,104.310344828,1
Health & Human Services,National Institute of Neurological Disorders and Stroke (NINDS),2008.0,0.254,0.713,0.821,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,No,,,Neuroscience,No,,Number of learners (any age) served,,,180.708661417,1
Health & Human Services,National Institute of Child Health & Human Development (NICHD),2008.0,0.7,0.924,0.75,Agency Mission Workforce,Mission-related,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Grades 6-20 aged learners,,Graduate (17-20),No,No,,,,"Short term academic training in specific demographic research methodologies; 
training on research with specific populations.",Don't know,,Number of learners (any age) served,none,,32.0,1
Health & Human Services,Office of Intramural Training and Education,2000.0,17.6,16.6,16.7,Agency Mission Workforce,Agency workforce,STEM Careers,Grades 6-20 aged learners,,Graduate (17-20),No,No,,,,All areas of biomedical research relevant to the NIH mission.,No,,Number of learners (any age) served,,,-5.681818181819999,0
Health & Human Services,Office of Intramural Training and Education,,21.54,21.48,24.81,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,,,No,Yes,,,,Biomedical fields relating to the NIH mission,No,,Number of learners (any age) served,,,-0.278551532033,0
Health & Human Services,Office of Intramural Training and Education,1994.0,5.775,5.115,5.869,Agency Mission Workforce,Mission-related,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,Yes,,,,biomedical fields relevant to the NIH mission,No,,Number of learners (any age) served,none,,-11.4285714286,0
Health & Human Services,Office of Intramural Training and Education,,2.135,2.135,2.24,Agency Mission Workforce,Mission-related,STEM Careers,,,,No,Yes,,,,biomedical fields relevant to the mission of the NIH,No,,,,,0.0,1
Health & Human Services,Office of Intramural Training and Education,1995.0,2.2,2.3,2.4,Agency Mission Workforce,Agency workforce,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,No,,,Biomedical fields relating to the mission of the NIH,Yes,,Number of learners (any age) served,,,4.54545454545,1
Health & Human Services,Office of Science Education (OSE),1997.0,0.7609999999999999,0.358,0.342,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,"Health and Medical Science
Social and Behavioral Science",No,Encouraged,Number of learners (any age) served,,YES,-52.9566360053,0
Health & Human Services,Office of Science Education (OSE),1991.0,2.096,2.1069999999999998,2.27,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,No,No,National scope or not targeted to a geographic region,x,"health science
medical science
behavioral and social science",No,No,Number of learners (any age) served,NONE,YES,0.524809160305,1
Health & Human Services,NIH Intramural - Office of Clinical Research Training and Medical Education,1997.0,1.0,1.0,1.1,Agency Mission Workforce,Mission-related,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Grades 6-20 aged learners,,Graduate (17-20),No,Yes,,,,"Biological sciences, biomedical sciences, and technology.

Medical and dental research focus",No,,Number of learners (any age) served,,,0.0,1
Health & Human Services,National Cancer Institute (NCI),2005.0,0.405,0.425,0.445,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,,Graduate (17-20),No,Yes,,,,"This program focuses on developing talented individuals at the Master's level 
in the area of drug development for biomedical research in the field of cancer.",No,,,,,4.938271604940001,1
Health & Human Services,National Institute on Drug Abuse (NIDA),1992.0,2.164,2.464,2.295,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,"All grants that are funded address these fields as they relate to neuroscience 
and drug abuse research.",No,Required,Number of learners (any age) served,,YES,13.863216266199998,1
Health & Human Services,National Institute on Drug Abuse (NIDA),2008.0,0.263,0.0,0.7559999999999999,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,,No,No,Number of learners (any age) served,NONE,YES,-100.0,0
Health & Human Services,National Institute on Drug Abuse (NIDA),2006.0,1.439,2.8789999999999996,1.443,Agency Mission Workforce,Mission-related,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,No,,,,Scientific research in computational neuroscinece.,No,,Number of learners (any age) served,none,,100.069492703,1
Health & Human Services,National Institute of Child Health & Human Development (NICHD),2003.0,4.7,10.1,10.4,General STEM,,Education Research and Development: Develop evidence-based STEM education models and practices,Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,No,No,National scope or not targeted to a geographic region,x,,Yes,No,,NONE,NO,114.893617021,1
Agriculture,NIFA,1986.0,0.5,0.5,0.5,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,,No,Encouraged,Number of learners (any age) served,,YES,0.0,1
Agriculture,NIFA,1990.0,5.17,0.0,9.26,Agency Mission Workforce,Mission-related,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,No,Yes,,,Food and agricultural sciences,Yes,,Number of learners (any age) served,none,,-100.0,0
Commerce,NOAA,2004.0,0.18899999999999997,0.6,0.6,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",,,,No,No,No,National scope or not targeted to a geographic region,x,,No,Encouraged,Number of educators served,,YES,217.46031746,1
Commerce,NOAA,2007.0,2.242,2.242,2.313,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,No,No,No,,n,,No,Encouraged,Number of learners (any age) served,,YES,0.0,1
Agriculture,NIFA,1914.0,26.366999999999997,26.316,24.275,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,,Yes,No,Number of learners (any age) served,,YES,-0.19342359767900003,0
Commerce,NOAA,1972.0,1.602503,1.7386279999999998,1.790778,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,No,No,National scope or not targeted to a geographic region,r,,No,Encouraged,Number of learners (any age) served,,YES,8.49452387921,1
Agriculture,NIFA,2001.0,3.06,3.06,3.06,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,Yes,,,"Multiple fields in the area of food and agricultural sciences and related 
disciplines",Yes,,Number of learners (any age) served,none,,0.0,1
Commerce,NOAA,1968.0,9.725442999999999,9.3865,9.378528999999999,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,No,No,No,National scope or not targeted to a geographic region,x,,No,Mixed,Number of learners (any age) served,,YES,-3.4851163078099994,0
Nuclear Regulatory Commission,Office of Human Resources,2009.0,0.0,8.4,6.6,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,No,,,,"Nuclear science
Engineering
health Physics",Yes,,Number of learners (any age) served,,,100.0,1
Nuclear Regulatory Commission,Office of Human Resources,2009.0,0.0,1.8,2.2,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,Undergraduate (13-16),,No,No,,,,"design, construction, operation, and regulation of nuclear facilities and the 
safe handling of nuclear materials",Yes,,,,,100.0,1
Agriculture,NIFA,2010.0,0.0,0.0,6.457033999999999,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,,Graduate (17-20),No,Yes,,,,"Ph.D. level scientists in agriculture, forestry, and food sciences.",Yes,,Number of learners (any age) served,none,,0.0,1
Agriculture,NIFA,2005.0,0.7090000000000001,0.7609999999999999,0.857,Agency Mission Workforce,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,No,,,Jobs in food and agricultural sciences and related disciplines.,Yes,,Number of learners (any age) served,none,,7.33427362482,1
Commerce,NOAA,1994.0,0.0,0.0,3.0,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,,No,Encouraged,Number of learners (any age) served,,YES,0.0,1
Agriculture,NIFA,,0.0,0.0,0.72,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",,,,Yes,Yes,No,,,"Diverse jobs in food and agricultural sciences and related disciples, for 
example, bio-energy, climate change, food security, food safety, childhood 
obesity prevention,",Yes,,Number of learners (any age) served,none,,0.0,1
Agriculture,NIFA,2010.0,0.0,0.0,6.6,General STEM,,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",,,,Yes,No,Yes,National scope or not targeted to a geographic region,x,,Yes,Encouraged,Number of learners (any age) served,NONE,NO,0.0,1
Commerce,NIST,2009.0,0.1,0.2,0.3,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",,,,No,Yes,No,National scope or not targeted to a geographic region,x,Mission-specific topics in measurement science,Yes,No,Number of educators served,,YES,100.0,1
Agriculture,NIFA,1983.0,16.577,17.28,19.0,Agency Mission Workforce,Mission-related,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",,,,Yes,Yes,Yes,,,Jobs within the food and agriculture sciences and related disciplines,Yes,,Number of educators served,none,,4.24081558786,1
Commerce,NOAA,1976.0,2.82,3.5015620000000003,4.00183,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,No,No,No,,n,"Focus is primarily on estuary science to include topics such as: 
estuary/coastal biology and ecology, human impacts on estuaries (land-use, 
watersheds), and ocean and climate literacy.",No,Mixed,Number of learners (any age) served,,YES,24.168865248200003,1
